Date;USD
07.07.2016;1.108
08.07.2016;1.107
11.07.2016;1.1049
12.07.2016;1.1092
13.07.2016;1.1072
14.07.2016;1.1157
15.07.2016;1.1128
18.07.2016;1.1053
19.07.2016;1.1035
20.07.2016;1.1013
21.07.2016;1.1015
22.07.2016;1.1014
25.07.2016;1.0982
26.07.2016;1.0997
27.07.2016;1.0991
28.07.2016;1.109
29.07.2016;1.1113
01.08.2016;1.1164
02.08.2016;1.1193
03.08.2016;1.12
04.08.2016;1.1136
05.08.2016;1.1156
08.08.2016;1.1087
09.08.2016;1.1078
10.08.2016;1.1184
11.08.2016;1.1153
12.08.2016;1.1158
15.08.2016;1.118
16.08.2016;1.1295
17.08.2016;1.1276
18.08.2016;1.1321
19.08.2016;1.1326
22.08.2016;1.1306
23.08.2016;1.1339
24.08.2016;1.1268
25.08.2016;1.129
26.08.2016;1.129
29.08.2016;1.117
30.08.2016;1.1168
31.08.2016;1.1132
01.09.2016;1.1146
02.09.2016;1.1193
05.09.2016;1.1156
06.09.2016;1.1159
07.09.2016;1.1237
08.09.2016;1.1296
09.09.2016;1.1268
12.09.2016;1.1226
13.09.2016;1.1247
14.09.2016;1.1218
15.09.2016;1.1254
16.09.2016;1.1226
19.09.2016;1.1165
20.09.2016;1.1184
21.09.2016;1.115
22.09.2016;1.1238
23.09.2016;1.1214
26.09.2016;1.1262
27.09.2016;1.122
28.09.2016;1.1225
29.09.2016;1.1221
30.09.2016;1.1161
03.10.2016;1.1236
04.10.2016;1.1161
05.10.2016;1.1211
06.10.2016;1.1185
07.10.2016;1.114
10.10.2016;1.116
11.10.2016;1.1079
12.10.2016;1.102
13.10.2016;1.1038
14.10.2016;1.1002
17.10.2016;1.0994
18.10.2016;1.0993
19.10.2016;1.0979
20.10.2016;1.098
21.10.2016;1.0886
24.10.2016;1.0891
25.10.2016;1.0872
26.10.2016;1.0925
27.10.2016;1.0927
28.10.2016;1.0922
31.10.2016;1.0946
01.11.2016;1.1025
02.11.2016;1.1095
